"ts";"value"
"2017-02-03 07:58:50.000000";"86,9565"
"2017-02-03 07:58:52.000000";"86,0832"
"2017-02-03 07:59:00.000000";"150,754"
"2017-02-03 07:59:01.000000";"53,5236"
"2017-02-03 07:59:04.000000";"53,0035"
"2017-02-03 07:59:05.000000";"118,343"
"2017-02-03 07:59:06.000000";"55,1978"
"2017-02-03 07:59:07.000000";"153,453"
"2017-02-03 07:59:09.000000";"153,061"
"2017-02-03 07:59:10.000000";"63,9659"
"2017-02-03 07:59:18.000000";"82,7586"
"2017-02-03 07:59:22.000000";"82,0793"
"2017-02-03 07:59:23.000000";"62,5"
"2017-02-03 07:59:24.000000";"79,1557"
"2017-02-03 07:59:26.000000";"165,289"
"2017-02-03 07:59:27.000000";"73,8916"
"2017-02-03 07:59:30.000000";"73,0816"
"2017-02-03 07:59:31.000000";"63,4249"
"2017-02-03 07:59:32.000000";"78,8436"
"2017-02-03 07:59:34.000000";"139,86"
"2017-02-03 07:59:36.000000";"50,5902"
"2017-02-03 07:59:38.000000";"50"
"2017-02-03 07:59:39.000000";"77,4194"
"2017-02-03 07:59:40.000000";"81,9672"
"2017-02-03 07:59:41.000000";"97,561"
"2017-02-03 07:59:42.000000";"80,2139"
"2017-02-03 08:03:44.000000";"74,3494"
"2017-02-03 08:03:45.000000";"131,868"
"2017-02-03 08:03:46.000000";"57,8592"
"2017-02-03 08:03:47.000000";"88,7574"
"2017-02-03 08:03:48.000000";"55,7103"
"2017-02-03 08:03:49.000000";"50,9338"
"2017-02-03 08:06:22.000000";"141,176"
"2017-02-03 08:06:23.000000";"125,523"
"2017-02-03 08:06:24.000000";"69,5249"
"2017-02-03 08:06:26.000000";"48,2315"
"2017-02-03 08:06:27.000000";"51,3259"
"2017-02-03 08:06:28.000000";"50,2934"
"2017-02-03 08:06:29.000000";"112,782"
"2017-02-03 08:06:30.000000";"145,631"
"2017-02-03 08:06:31.000000";"160,858"
"2017-02-03 08:06:32.000000";"78,7402"
"2017-02-03 08:06:33.000000";"104,895"
"2017-02-03 08:06:34.000000";"112,994"
"2017-02-03 08:06:35.000000";"100,671"
"2017-02-03 08:06:36.000000";"172,414"
"2017-02-03 08:06:37.000000";"42,1941"
"2017-02-03 08:06:38.000000";"44,6097"
"2017-02-03 08:06:39.000000";"105,448"
"2017-02-03 08:06:41.000000";"125,523"
"2017-02-03 08:06:42.000000";"75,662"
"2017-02-03 08:06:43.000000";"79,7872"
"2017-02-03 08:06:44.000000";"94,3396"
"2017-02-03 08:06:45.000000";"58,1395"
"2017-02-03 08:06:46.000000";"69,7674"
"2017-02-03 08:06:47.000000";"75,3769"
"2017-02-03 08:06:48.000000";"79,3651"
"2017-02-03 08:06:49.000000";"81,1908"
"2017-02-03 08:06:50.000000";"79,0514"
"2017-02-03 08:06:51.000000";"78,8436"
"2017-02-03 08:06:52.000000";"77,5194"
"2017-02-03 08:06:53.000000";"92,8793"
"2017-02-03 08:06:57.000000";"122,2"
"2017-02-03 08:06:58.000000";"80,6452"
"2017-02-03 08:06:59.000000";"79,3651"
"2017-02-03 08:07:00.000000";"139,86"
"2017-02-03 08:07:08.000000";"91,3242"
"2017-02-03 08:07:09.000000";"112,15"
"2017-02-03 08:07:10.000000";"116,732"
"2017-02-03 08:07:11.000000";"179,641"
"2017-02-03 08:07:12.000000";"55,7621"
"2017-02-03 08:07:13.000000";"89,6861"
"2017-02-03 08:07:14.000000";"95,5414"
"2017-02-03 08:07:15.000000";"84,7458"
"2017-02-03 08:07:16.000000";"48,1155"
"2017-02-03 08:07:17.000000";"112,994"
"2017-02-03 08:07:18.000000";"169,972"
"2017-02-03 08:07:19.000000";"152,672"
"2017-02-03 08:07:20.000000";"126,05"
"2017-02-03 08:07:21.000000";"128,48"
"2017-02-03 08:07:54.000000";"160,428"
"2017-02-03 08:07:55.000000";"139,211"
"2017-02-03 08:07:56.000000";"160"
"2017-02-03 08:07:57.000000";"89,153"
"2017-02-03 08:07:58.000000";"62,3053"
"2017-02-03 08:07:59.000000";"96,3082"
"2017-02-03 08:08:00.000000";"169,014"
"2017-02-03 08:08:01.000000";"76,7263"
"2017-02-03 08:08:02.000000";"125,786"
"2017-02-03 08:08:03.000000";"75"
"2017-02-03 08:08:05.000000";"45,3858"
"2017-02-03 08:08:06.000000";"61,3497"
"2017-02-03 08:08:08.000000";"40,1875"
"2017-02-03 08:08:09.000000";"77,9221"
"2017-02-03 08:08:10.000000";"98,0392"
"2017-02-03 08:08:11.000000";"62,0476"
"2017-02-03 08:08:12.000000";"45,7666"
"2017-02-03 08:08:14.000000";"89,8204"
"2017-02-03 08:08:15.000000";"101,18"
"2017-02-03 08:08:17.000000";"101,01"
"2017-02-03 08:08:18.000000";"140,845"
"2017-02-03 08:08:23.000000";"116,959"
"2017-02-03 08:08:24.000000";"75,9494"
"2017-02-03 08:08:25.000000";"104,167"
"2017-02-03 08:08:26.000000";"76,7263"
"2017-02-03 08:08:27.000000";"110,497"
"2017-02-03 08:08:31.000000";"175,439"
"2017-02-03 08:08:32.000000";"123,203"
"2017-02-03 08:08:33.000000";"54,7445"
"2017-02-03 08:08:34.000000";"60,5449"
"2017-02-03 08:08:35.000000";"74,4417"
"2017-02-03 08:08:37.000000";"74,0741"
"2017-02-03 08:08:38.000000";"83,682"
"2017-02-03 08:08:39.000000";"62,8931"
"2017-02-03 08:08:40.000000";"72,1154"
"2017-02-03 08:08:43.000000";"99,8336"
"2017-02-03 08:08:46.000000";"99,0099"
"2017-02-03 08:08:54.000000";"103,448"
"2017-02-03 08:08:55.000000";"78,637"
"2017-02-03 08:08:56.000000";"49,71"
"2017-02-03 08:08:57.000000";"54,1028"
"2017-02-03 08:08:58.000000";"91,7431"
"2017-02-03 08:08:59.000000";"40,7609"
"2017-02-03 08:09:02.000000";"40"
"2017-02-03 08:09:10.000000";"70,1754"
"2017-02-03 08:09:15.000000";"70,0117"
"2017-02-03 08:09:19.000000";"70,0117"
"2017-02-03 08:09:20.000000";"70,0117"
"2017-02-03 08:09:31.000000";"42,4328"
"2017-02-03 08:10:44.000000";"70,7547"
"2017-02-03 08:10:45.000000";"70,5053"
"2017-02-03 08:10:46.000000";"75,5667"
"2017-02-03 08:10:47.000000";"73,1707"
