"ts";"lat";"lon";"alt";"hdg";"spd";"LOD"
"2017-02-03 07:26:52.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:26:54.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:26:55.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:26:57.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:26:59.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:27:01.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:27:03.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:27:05.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:27:07.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:27:09.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:27:11.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:27:13.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:27:15.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:27:17.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:27:19.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:27:21.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:27:23.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:27:25.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:27:27.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:27:29.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:27:31.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:27:33.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:27:35.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:27:37.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:27:39.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:27:41.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:27:43.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:27:45.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:27:46.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:27:48.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:27:50.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:27:52.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:27:54.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:27:56.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:27:58.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
