"ts";"duration"
"2017-02-03 10:23:45.000000";"9951"
"2017-02-03 10:23:59.000000";"1759"
"2017-02-03 10:24:14.000000";"44859"
"2017-02-03 10:25:04.000000";"5260"
"2017-02-03 10:25:14.000000";"3180"
"2017-02-03 10:25:19.000000";"1724"
"2017-02-03 10:25:21.000000";"8876"
"2017-02-03 10:25:58.000000";"1224"
"2017-02-03 10:26:16.000000";"9839"
"2017-02-03 10:27:35.000000";"77057"
"2017-02-03 10:28:56.000000";"19877"
"2017-02-03 10:29:41.000000";"17868"
"2017-02-03 10:29:59.000000";"26102"
"2017-02-03 10:30:25.000000";"2503"
"2017-02-03 10:30:41.000000";"1649"
"2017-02-03 10:30:45.000000";"4043"
"2017-02-03 10:30:57.000000";"1900"
"2017-02-03 10:30:59.000000";"7790"
"2017-02-03 10:31:07.000000";"28238"
"2017-02-03 10:31:36.000000";"75295"
"2017-02-03 10:33:19.000000";"4335"
"2017-02-03 10:33:23.000000";"6882"
"2017-02-03 10:33:35.000000";"9416"
"2017-02-03 10:33:45.000000";"20533"
"2017-02-03 10:34:13.000000";"1468"
"2017-02-03 10:34:16.000000";"6369"
"2017-02-03 10:34:22.000000";"5222"
"2017-02-03 10:34:40.000000";"1366"
"2017-02-03 10:34:51.000000";"1418"
"2017-02-03 10:35:16.000000";"9908"
"2017-02-03 10:35:29.000000";"1354"
"2017-02-03 10:35:36.000000";"1324"
"2017-02-03 10:36:05.000000";"8817"
"2017-02-03 10:36:15.000000";"61428"
"2017-02-03 10:37:20.000000";"1224"
"2017-02-03 10:37:21.000000";"12149"
"2017-02-03 10:37:34.000000";"32185"
"2017-02-03 10:38:13.000000";"20279"
"2017-02-03 10:38:35.000000";"3530"
"2017-02-03 10:38:39.000000";"8892"
"2017-02-03 10:39:04.000000";"2162"
"2017-02-03 10:39:06.000000";"14545"
"2017-02-03 10:39:22.000000";"122228"
"2017-02-03 10:39:22.000000";"122228"
"2017-02-03 10:41:33.000000";"3761"
"2017-02-03 10:41:42.000000";"1134"
"2017-02-03 10:41:47.000000";"1896"
"2017-02-03 10:41:52.000000";"2433"
"2017-02-03 10:41:58.000000";"4339"
"2017-02-03 10:43:20.000000";"1166"
"2017-02-03 10:43:24.000000";"5232"
"2017-02-03 10:43:42.000000";"10517"
"2017-02-03 10:43:54.000000";"118735"
"2017-02-03 10:45:55.000000";"7944"
"2017-02-03 10:46:03.000000";"1062"
"2017-02-03 10:46:07.000000";"2335"
"2017-02-03 10:46:11.000000";"42665"
"2017-02-03 10:46:54.000000";"17468"
"2017-02-03 10:47:36.000000";"54462"
"2017-02-03 10:49:27.000000";"11956"
"2017-02-03 10:49:41.000000";"18007"
"2017-02-03 10:50:07.000000";"5565"
"2017-02-03 10:50:23.000000";"2063"
"2017-02-03 10:50:28.000000";"39387"
"2017-02-03 10:51:13.000000";"4358"
"2017-02-03 10:51:18.000000";"1047"
"2017-02-03 10:51:29.000000";"8558"
"2017-02-03 10:51:37.000000";"5356"
"2017-02-03 10:51:48.000000";"7048"
"2017-02-03 10:51:56.000000";"57601"
"2017-02-03 10:52:56.000000";"6678"
"2017-02-03 10:54:30.000000";"8418"
"2017-02-03 10:54:38.000000";"1639"
"2017-02-03 10:54:48.000000";"1729"
"2017-02-03 10:55:06.000000";"2309"
"2017-02-03 11:01:18.000000";"1098"
"2017-02-03 11:01:31.000000";"10436"
"2017-02-03 11:01:50.000000";"4819"
"2017-02-03 11:02:02.000000";"49379"
"2017-02-03 11:02:55.000000";"58035"
